"organization","name","full_name","description","url","homepage","language","stars","forks","created_at","updated_at","topics","has_commits"
"natverse","nat","natverse/nat","NeuroAnatomy Toolbox: An R package for the (3D) visualisation and analysis of biological image data, especially tracings of single neurons.","https://github.com/natverse/nat","https://natverse.org/nat/","R",74,27,"2014-01-02T07:54:01Z","2025-11-11T18:22:55Z","3d, connectomics, cran, image-analysis, neuroanatomy, neuroanatomy-toolbox, neuron, neuron-morphology, neuroscience, r, visualisation",TRUE
"natverse","flycircuit","natverse/flycircuit","R package flycircuit","https://github.com/natverse/flycircuit","https://natverse.github.io/flycircuit","R",5,2,"2014-01-31T09:17:52Z","2025-10-30T15:14:23Z","drosophila, natverse, neuroanatomy, neuroanatomy-toolbox, r",TRUE
"natverse","nat.examples","natverse/nat.examples","Example code for the NeuroAnatomy Toolbox (nat) R package","https://github.com/natverse/nat.examples",NA,"HTML",10,4,"2014-04-17T13:46:51Z","2025-10-30T15:23:52Z","",TRUE
"natverse","nat.nblast","natverse/nat.nblast","R package implementing the NBLAST neuron search algorithm, as an add-on for the NeuroAnatomy Toolbox (nat) R package.","https://github.com/natverse/nat.nblast","http://natverse.org/nat.nblast/","R",16,6,"2014-04-22T10:54:53Z","2025-08-18T11:25:55Z","morphological-analysis, nblast, neuroanatomy, neuroanatomy-toolbox, neurons",TRUE
"natverse","rcatmaid","natverse/rcatmaid","R package providing API access to the CATMAID web image annotation tool","https://github.com/natverse/rcatmaid","https://natverse.github.io/rcatmaid","R",9,6,"2014-10-23T17:58:48Z","2024-06-04T14:35:47Z","catmaid, connectomics, neuroanatomy, neuroanatomy-toolbox, r",TRUE
"natverse","elmr","natverse/elmr","Support for working with light and electron microscopy fly brain data","https://github.com/natverse/elmr","https://natverse.github.io/elmr","R",8,3,"2016-02-29T09:44:40Z","2025-10-13T05:23:29Z","neuroanatomy, neuroanatomy-toolbox, r",TRUE
"natverse","mouselightr","natverse/mouselightr","Bridge HHMI Janelia MouseLight Database and nat R Package","https://github.com/natverse/mouselightr","https://natverse.github.io/mouselightr","R",9,2,"2018-03-09T16:40:15Z","2022-11-03T22:40:23Z","neuroanatomy, neuroanatomy-toolbox, neuroscience, r",TRUE
"natverse","fafbseg","natverse/fafbseg","Support functions for analysis of Drosophila connectomes especially the FAFB-FlyWire whole brain","https://github.com/natverse/fafbseg","https://natverse.org/fafbseg/","R",11,5,"2018-07-08T10:32:55Z","2025-10-30T15:31:00Z","connectomics, neuroanatomy-toolbox, neuroscience, r",TRUE
"natverse","nat.h5reg","natverse/nat.h5reg","Neuroanatomy Toolbox Support for Saalfeld/Bogovic HDF5 Registration Format","https://github.com/natverse/nat.h5reg","http://natverse.org/nat.h5reg/","R",1,0,"2019-02-02T23:39:23Z","2023-11-18T16:09:49Z","neuroanatomy-toolbox, neuroscience, r",TRUE
"natverse","drvid","natverse/drvid","Access to DVID API","https://github.com/natverse/drvid","https://jefferis.github.io/drvid","R",0,2,"2019-03-07T11:05:28Z","2021-04-23T09:54:58Z","connectomics, neuroanatomy, neuroanatomy-toolbox, neuroscience, r",TRUE
